"Gross value added by industry (at constant price)","Rs (,000)"
"Agriculture and forestry","51674012"
"Construction","5479211"
"Education","10327169"
"Electricty gas and water","1635198"
"Financial intermediation","2444571"
"Fishing","3365222"
"Health and social work","951040"
"Hotels and restaurants","720885"
"Manufacturing","8203898"
"Mining and quarrying","608827"
"Other community, social and personal service activities","3070994"
"Public administration and defence","2410748"
"Real estate, renting and business activities","4136705"
"Transport, storage and communications","14724258"
"Wholesale and retail trade","16290767"
"Total","126043505"