"Population by Age of First Marriage","Number"
"10-14 Years",""
"Female","224086"
"Male","61800"
"15-19 Years",""
"Female","789387"
"Male","414625"
"20-24 Years",""
"Female","218867"
"Male","346126"
"25-29 Years",""
"Female","27104"
"Male","109301"
"30-34 Years",""
"Female","5128"
"Male","23359"
"35-39 Years",""
"Female","1610"
"Male","5709"
"40-44 Years",""
"Female","566"
"Male","1721"
"45-49 Years",""
"Female","219"
"Male","592"
"50 Years Above",""
"Female","167"
"Male","412"
"Below 10 Year",""
"Female","23794"
"Male","3981"