"Annual Growth rate of GDP by economic activities","Percentage %"
"Agriculture and forestry","6.28"
"Construction","8.96"
"Education","5.31"
"Electricty gas and water","15.45"
"Financial intermediation","6.58"
"Fishing","7.69"
"Health and social work","6.63"
"Hotels and restaurants","7.76"
"Manufacturing","5.78"
"Mining and quarrying","9.46"
"Other community, social and personal service activities","6.22"
"Public administration and defence","5.80"
"Real estate, renting and business activities","4.09"
"Transport, storage and communications","5.90"
"Wholesale and retail trade","15.46"