"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","29"
"Male","21"
"Bhote",""
"Female","420"
"Male","419"
"Brahman - Hill",""
"Female","689"
"Male","588"
"Chhetri",""
"Female","4925"
"Male","4937"
"Dalit Others",""
"Female","70"
"Male","66"
"Damai/Dholi",""
"Female","463"
"Male","430"
"Kami",""
"Female","893"
"Male","907"
"Lohar",""
"Female","816"
"Male","822"
"Mallaha",""
"Female","43"
"Male","50"
"Musalman",""
"Female","49"
"Male","43"
"Newar",""
"Female","6"
"Male","7"
"Others",""
"Female","31"
"Male","30"
"Sanyasi/Dasnami",""
"Female","253"
"Male","245"
"Sarki",""
"Female","295"
"Male","325"
"Thakuri",""
"Female","443"
"Male","461"